,구,주소,어린이집명,어린이집등급,보육과정 및 상호작용,보육환경 및 운영관리,건강 및 안전,교직원,평가 인증 년월
94,중구,(04515) 서울특별시 중구 서소문로11길 24 5-1번지 서울시청직장어린이집,서울시청직장어린이집,A,우수,우수,우수,우수,2019.1
95,중구,(04583) 서울특별시 중구 퇴계로88가길 8-10 ,신당5동어린이집,B,우수,우수,보통,우수,2022.07
96,중구,(04610) 서울특별시 중구 청구로8길 41 (신당동),신당동어린이집,A,우수,우수,우수,우수,2022.08
97,중구,(04598) 서울특별시 중구 동호로15길 21-36 ,신당삼성어린이집,A,우수,우수,우수,우수,2020.01
98,중구,(04608) 서울특별시 중구 다산로 165 (신당동),신당중앙어린이집,A,우수,우수,우수,우수,2023.02
99,중구,(04580) 서울특별시 중구 왕십리로 407 신당파인힐하나유보라 103동 1층,신당하나어린이집,A,우수,우수,우수,우수,2020.02
100,중구,(04590) 서울특별시 중구 다산로 128-9 ,신일교회어린이집,B,우수,보통,우수,우수,2022.08
101,중구,(04542) 서울특별시 중구 을지로2가 삼일대로 358 신한L타워 3층,신한꿈나무어린이집,A,우수,우수,우수,우수,2020.03
102,중구,(04586) 서울특별시 중구 다산로32길 25 (신당동),아기사랑어린이집,B,우수,보통,우수,우수,2020.02
103,중구,(04581) 서울특별시 중구 난계로 130 102동 102호,아이다움어린이집,A,우수,우수,우수,우수,2020.1
104,중구,(04596) 서울특별시 중구 다산로8길 32 (신당동),약수교회어린이집,A,우수,우수,우수,우수,2022.06
105,중구,(04597) 서울특별시 중구 다산로6길 15 (신당동),약수어린이집,A,우수,우수,우수,우수,2023.02
106,중구,"(04588) 서울특별시 중구 청구로1길 23 108동 102호(신당동, 삼성아파트)",엄마품어린이집,C,개선필요,보통,우수,보통,2022.03
107,중구,"(04502) 서울특별시 중구 중림로 10 106동 103호(중림동, 사이버빌리지)",엔젤어린이집,A,우수,우수,우수,우수,2022.08
108,중구,(04552) 서울특별시 중구 수표로 33 (저동2가),영락교회어린이집,B,우수,우수,보통,우수,2022.06
109,중구,(04521) 서울특별시 중구 청계천로 30 2층,예금보험공사어린이집,A,우수,우수,우수,우수,2022.03
110,중구,(04551) 서울특별시 중구 삼일대로 340 나라키움빌딩 2층 (저동1가),우리누리 어린이집,B,보통,우수,우수,보통,2023.03
111,중구,(04632) 서울특별시 중구 회현동1가 소공로 51 ,우리은행어린이집,A,우수,우수,우수,우수,2020.01
112,중구,(04539) 서울특별시 중구 을지로2가 을지로 55 하나은행 2층,을지로 하나금융그룹 직장어린이집,A,우수,우수,우수,우수,2022.04
113,중구,(04559) 서울특별시 중구 마른내로12길 17-19 ,중구청직장어린이집,A,우수,우수,우수,우수,2023.02
114,중구,(04508) 서울특별시 중구 만리재로35길 12 (만리동1가),중림어린이집,A,우수,우수,우수,우수,2020.01
115,중구,(04592) 서울특별시 중구 다산로24길 81 (신당동),청구어린이집,A,우수,우수,우수,우수,2022.09
116,중구,(04618) 서울특별시 중구 동호로27길 21 (묵정동),충무어린이집,A,우수,우수,우수,우수,2020.01
117,중구,"(04595) 서울특별시 중구 다산로 32 15동 101호(신당동, 남산타운)",키즈숲 어린이집,A,우수,우수,우수,우수,2020.03
118,중구,(04637) 서울특별시 중구 한강대로 416 2층,키즈일레븐어린이집,A,우수,우수,우수,우수,2021.04
119,중구,(04548) 서울특별시 중구 을지로4가 을지로 170 ,푸르지오비씨 어린이집,A,우수,우수,우수,우수,2020.09
120,중구,(04626) 서울특별시 중구 퇴계로36가길 60 (필동2가),필동어린이집,A,우수,우수,우수,우수,2022.08
121,중구,(04531) 서울특별시 중구 남대문로 39 한국은행 통합별관 5층,한국은행 어린이집,A,우수,우수,우수,우수,2023.12
122,중구,(04595) 서울특별시 중구 다산로 32 남산타운 단지내 한솔어린이집,한솔어린이집,A,우수,우수,우수,우수,2019.09
123,중구,(04525) 서울특별시 중구 태평로2가 세종대로 92 4층,한화태평로어린이집,A,우수,우수,우수,우수,2022.04
124,중구,(04572) 서울특별시 중구 청계천로 400 롯데캐슬베네치아 105동 704호,해피맘어린이집,A,우수,우수,우수,우수,2020.03
125,중구,"(04607) 서울특별시 중구 동호로14길 11-8 B동 102호(신당동, 뉴타운빌)",햇살어린이집,A,우수,우수,우수,우수,2022.06
126,중구,(04574) 서울특별시 중구 난계로15길 23 (황학동),황학어린이집,A,우수,우수,우수,우수,2022.08
127,중구,(04633) 서울특별시 중구 퇴계로12가길 23 (회현동1가),회현어린이집,A,우수,우수,우수,우수,2022.09
128,용산구,(04323) 서울특별시 용산구 후암로 107 게이트웨이타워 3층,DB손해보험 아이사랑 어린이집,A,우수,우수,우수,우수,2023.09
129,용산구,(04419) 서울특별시 용산구 한남대로 72 ,IBK 참!좋은 어린이집,A,우수,우수,우수,우수,2019.12
130,용산구,"(04421) 서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",고운꿈어린이집,A,우수,우수,우수,우수,2023.1
131,용산구,(04383) 서울특별시 용산구 서빙고로 137 국립중앙박물관,국립중앙박물관 해누림 어린이집,A,우수,우수,우수,우수,2021.05
132,용산구,(04383) 서울특별시 용산구 이태원로 22 국방부 (용산동3가),국방부청사어린이집,A,우수,우수,우수,우수,2023.08
133,용산구,"(04393) 서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",꼬마성어린이집,A,우수,우수,우수,우수,2021.07
134,용산구,"(04319) 서울특별시 용산구 효창원로69길 57 101동 104호(효창동, 효창베네스빌)",꿈꾸는어린이집,A,우수,우수,우수,우수,2021.02
135,용산구,(04316) 서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,꿈나무어린이집,A,우수,우수,우수,우수,2022.12
136,용산구,"(04423) 서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",꿈동이어린이집,A,우수,우수,우수,우수,2022.04
137,용산구,(04423) 서울특별시 용산구 이촌로81길 34 꿈밭어린이집,꿈밭어린이집,B,우수,우수,보통,우수,2022.09
138,용산구,(04328) 서울특별시 용산구 두텁바위로60길 74 남산중앙교회내 (후암동),남산중앙어린이집,A,우수,우수,우수,우수,2023.07
139,용산구,(04331) 서울특별시 용산구 후암로22길 10 104호(후암동),노벨어린이집,A,우수,우수,우수,우수,2021.07
140,용산구,"(04315) 서울특별시 용산구 백범로90길 74 102동 102호(문배동, 용산이안아파트)",누리터어린이집,A,우수,우수,우수,우수,2023.12
141,용산구,(04374) 서울특별시 용산구 이촌로2가길 122 105동 106호,늘봄어린이집,B,우수,보통,우수,우수,2022.09
142,용산구,"(04380) 서울특별시 용산구 이촌로29길 21-7 101동 101호(한강로3가, 우림필유아파트)",늘해랑어린이집,A,우수,우수,우수,우수,2021.02
143,용산구,"(04315) 서울특별시 용산구 원효로90길 11 (원효로1가, 용산더프라임)",더프라임어린이집,A,우수,우수,우수,우수,2023.02
144,용산구,"(04356) 서울특별시 용산구 새창로 70 112동 104호(도원동, 삼성래미안아파트)",도원삼성어린이집,A,우수,우수,우수,우수,2020.1
145,용산구,(04356) 서울특별시 용산구 효창원로37마길 8 도원어린이집 (용문동),도원어린이집,A,우수,우수,우수,우수,2022.07
146,용산구,(04421) 서울특별시 용산구 이촌로 193 관리동 1층,동부이촌어린이집,A,우수,우수,우수,우수,2023.1
147,용산구,(04398) 서울특별시 용산구 녹사평대로14길 7 (동빙고동),동빙고어린이집,A,우수,우수,우수,우수,2022.12
148,용산구,"(04358) 서울특별시 용산구 효창원로 17 101동 101호(산천동,리버힐삼성아파트)",딩동댕어린이집,B,보통,우수,보통,우수,2022.09
149,용산구,(04417) 서울특별시 용산구 한남대로40길 76 맑은숲어린이집,맑은숲어린이집,A,우수,우수,우수,우수,2023.05
150,용산구,"(04358) 서울특별시 용산구 효창원로 17 107동 105호(산천동, 삼성리버힐아파트)",맘앤키즈어린이집,B,우수,우수,보통,우수,2021.07
151,용산구,(04346) 서울특별시 용산구 회나무로12나길 10 ,목멱어린이집,A,우수,우수,우수,우수,2021.02
152,용산구,(04331) 서울특별시 용산구 후암로16나길 13 ,미래어린이집,A,우수,우수,우수,우수,2022.04
153,용산구,(04312) 서울특별시 용산구 효창원로 178 (청파동3가),반석어린이집,B,보통,우수,보통,보통,2023.03
154,용산구,(04312) 서울특별시 용산구 효창원로76길 25-6 ,백송어린이집,A,우수,우수,우수,우수,2022.07
155,용산구,(04415) 서울특별시 용산구 보광로12가길 48-4 보광 어린이집 (보광동),보광 어린이집,A,우수,우수,우수,우수,2022.06
156,용산구,(04368) 서울특별시 용산구 원효로 216 관리동 1층,사랑꿈어린이집,A,우수,우수,우수,우수,2023.09
157,용산구,(04336) 서울특별시 용산구 후암로 4-8 후암동,사랑나무어린이집,A,우수,우수,우수,우수,2023.11
158,용산구,(04351) 서울특별시 용산구 이태원로15길 1 (이태원동),사무엘 어린이집,A,우수,우수,우수,우수,2022.07
159,용산구,"(04375) 서울특별시 용산구 백범로99길 40 1,2층",삼각지어린이집,C,개선필요,우수,우수,우수,2022.12
160,용산구,"(04378) 서울특별시 용산구 한강대로 95 B동 4층 410호(한강로2가,래미안용산)",삼일어린이집,A,우수,우수,우수,우수,2020.02
161,용산구,(04319) 서울특별시 용산구 백범로45길 4 (효창동),상록어린이집,A,우수,우수,우수,우수,2022.09
162,용산구,(04323) 서울특별시 용산구 후암로57길 26 (동자동),새꿈어린이집,B,우수,우수,보통,우수,2020.01
163,용산구,(04354) 서울특별시 용산구 새창로8길 7 삼성래미안아파트 2단지내 관리동1층 (도원동),새날어린이집,A,우수,우수,우수,우수,2020.01
164,용산구,(04422) 서울특별시 용산구 이촌로65가길 3 110동 101호,새둥지어린이집,A,우수,우수,우수,우수,2022.03
165,용산구,(04354) 서울특별시 용산구 새창로 70 삼성래미안아파트 단지내 (도원동),새랑꿈이랑 어린이집,B,우수,우수,우수,보통,2022.04
166,용산구,"(04361) 서울특별시 용산구 원효로35길 37-7 1,2층",새순어린이집,A,우수,우수,우수,우수,2022.09
167,용산구,(04364) 서울특별시 용산구 원효로67길 13 (원효로2가),새싹어린이집,A,우수,우수,우수,우수,2023.02
168,용산구,(04361) 서울특별시 용산구 원효로4가 원효로19길 49 ,샘물어린이집,A,우수,우수,우수,우수,2021.07
169,용산구,"(04381) 서울특별시 용산구 이촌로 100-8 103동 102호 (이촌제2동, 동아그린아파트)",생각이자라는어린이집,A,우수,우수,우수,우수,2023.05
170,용산구,(04300) 서울특별시 용산구 청파로93길 25 서계어린이집,서계어린이집,A,우수,우수,우수,우수,2022.1
171,용산구,"(04392) 서울특별시 용산구 장문로 27 상가동, 102호 (이태원동, 청화아파트)",서머힐어린이집,A,우수,우수,우수,우수,2023.07
172,용산구,(04398) 서울특별시 용산구 녹사평대로 66 대우푸르지오파크타운 208동앞,서빙고어린이집,B,우수,우수,우수,보통,2023.09
173,용산구,(04339) 서울특별시 용산구 신흥로18길 3-5 ,소월어린이집,A,우수,우수,우수,우수,2023.11
174,용산구,(04394) 서울특별시 용산구 장문로 95 (보광동),솔어린이집,A,우수,우수,우수,우수,2019.08
175,용산구,(04310) 서울특별시 용산구 청파로47길 100 사회교육관 1층(숙명여자대학교 제2캠퍼스),숙명여자대학교어린이집,C,우수,우수,우수,개선필요,2022.09
176,용산구,(04420) 서울특별시 용산구 독서당로20길 9-5 1층,순천향대학교서울병원어린이집,A,우수,우수,우수,우수,2020.09
177,용산구,"(04354) 서울특별시 용산구 새창로 70 103동 102호 (도원동,삼성래미안아파트)",숲속키즈어린이집,C,개선필요,우수,우수,우수,2022.04
178,용산구,(04427) 서울특별시 용산구 이촌로 174 동부센트레빌 105,스타터즈어린이집,B,우수,보통,우수,보통,2021.09
179,용산구,(04300) 서울특별시 용산구 만리재로 178 (서계동),신태양 어린이집,A,우수,우수,우수,우수,2023.02
180,용산구,(04386) 서울특별시 용산구 한강대로 100 (주)아모레퍼시픽 2층,아모레퍼시픽 서울어린이집,A,우수,우수,우수,우수,2019.1
181,용산구,(04422) 서울특별시 용산구 이촌로71길 10 210동 103호,아이뜰어린이집,A,우수,우수,우수,우수,2022.12
182,용산구,(04348) 서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),아이제일어린이집,A,우수,우수,우수,우수,2023.11
183,용산구,(04379) 서울특별시 용산구 한강로3가 한강대로 32 ,엘지유플러스어린이집,A,우수,우수,우수,우수,2023.1
184,용산구,(04336) 서울특별시 용산구 후암로4길 70 (후암동),영락어린이집,A,우수,우수,우수,우수,2023.02
185,용산구,(04336) 서울특별시 용산구 두텁바위로 91 (후암동),영주어린이집,A,우수,우수,우수,우수,2023.1
186,용산구,(04428) 서울특별시 용산구 이촌로 347 1동 102호,예꿈어린이집,A,우수,우수,우수,우수,2023.1
